period,temp_avg,rainfall
2024-01-01,3.3,0.0
2024-01-02,2.9,0.0
2024-01-03,1.8,0.6
2024-01-04,1.4,0.0
2024-01-05,5.0,0.0
2024-01-06,0.7,2.4
2024-01-07,-4.4,0.0
2024-01-08,-4.7,0.0
2024-01-09,-0.6,1.6
2024-01-10,-1.0,0.0
2024-01-11,1.7,0.0
2024-01-12,0.9,0.0
2024-01-13,0.4,0.0
2024-01-14,-0.6,3.1
2024-01-15,-3.7,0.0
2024-01-16,-2.1,0.0
2024-01-17,0.6,9.7
2024-01-18,4.5,0.5
2024-01-19,5.4,0.0
2024-01-20,3.4,0.4
2024-01-21,1.7,0.4
2024-01-22,-8.7,0.2
2024-01-23,-11.7,0.0
2024-01-24,-8.0,0.0
2024-01-25,-5.3,0.0
2024-01-26,-1.7,0.0
2024-01-27,-0.5,0.0
2024-01-28,-1.5,0.0
2024-01-29,-0.4,0.0
2024-01-30,1.4,0.0
2024-01-31,4.7,0.0
2024-02-01,2.4,0.0
2024-02-02,3.1,0.0
2024-02-03,4.7,0.0
2024-02-04,7.3,0.0
2024-02-05,2.7,3.9
2024-02-06,1.2,0.2
2024-02-07,0.6,0.0
2024-02-08,0.6,0.0
2024-02-09,1.1,0.0
2024-02-10,1.7,0.0
2024-02-11,1.0,0.0
2024-02-12,3.5,0.0
2024-02-13,8.2,0.0
2024-02-14,12.9,0.0
2024-02-15,4.5,10.9
2024-02-16,2.3,0.0
2024-02-17,4.4,0.0
2024-02-18,6.2,17.1
2024-02-19,9.1,8.9
2024-02-20,4.3,2.6
2024-02-21,1.9,17.8
2024-02-22,0.2,8.8
2024-02-23,1.8,0.4
2024-02-24,2.0,2.3
2024-02-25,2.8,1.8
2024-02-26,3.8,0.0
2024-02-27,5.3,0.0
2024-02-28,6.4,0.0
2024-02-29,4.8,0.0
2024-03-01,-4.1,0.0
2024-03-02,-0.5,0.0
2024-03-03,4.0,0.0
2024-03-04,5.4,0.0
2024-03-05,8.0,0.0
2024-03-06,6.2,0.0
2024-03-07,3.9,2.1
2024-03-08,2.1,0.0
2024-03-09,2.0,0.0
2024-03-10,4.2,0.0
2024-03-11,6.2,0.0
2024-03-12,6.6,2.1
2024-03-13,6.5,0.0
2024-03-14,8.5,0.0
2024-03-15,8.9,0.0
2024-03-16,10.9,0.0
2024-03-17,8.8,0.1
2024-03-18,7.1,0.0
2024-03-19,6.7,0.2
2024-03-20,4.4,0.0
2024-03-21,5.0,0.0
2024-03-22,10.4,5.4
2024-03-23,13.0,0.1
2024-03-24,16.2,0.0
2024-03-25,10.6,5.1
2024-03-26,7.4,11.5
2024-03-27,10.4,0.0
2024-03-28,10.3,1.9
2024-03-29,7.6,1.4
2024-03-30,8.8,0.0
2024-03-31,10.6,0.0
2024-04-01,12.2,0.0
2024-04-02,15.4,0.0
2024-04-03,16.6,0.0
2024-04-04,15.5,0.0
2024-04-05,14.0,0.0
2024-04-06,12.7,0.0
2024-04-07,14.8,0.0
2024-04-08,16.2,0.0
2024-04-09,15.3,0.0
2024-04-10,13.8,0.0
2024-04-11,15.5,0.0
2024-04-12,17.2,0.0
2024-04-13,19.1,0.0
2024-04-14,20.8,0.0
2024-04-15,16.0,17.1
2024-04-16,13.3,2.3
2024-04-17,15.0,0.0
2024-04-18,17.3,0.0
2024-04-19,17.6,0.0
2024-04-20,14.9,4.8
2024-04-21,17.2,0.0
2024-04-22,18.8,0.0
2024-04-23,17.3,0.0
2024-04-24,13.2,9.0
2024-04-25,14.4,0.0
2024-04-26,17.8,0.0
2024-04-27,18.2,0.0
2024-04-28,20.7,0.0
2024-04-29,20.9,0.0
2024-04-30,18.6,0.0
2024-05-01,18.5,0.0
2024-05-02,18.1,0.0
2024-05-03,19.7,0.0
2024-05-04,21.4,0.0
2024-05-05,17.8,48.3
2024-05-06,13.9,12.3
2024-05-07,13.3,2.4
2024-05-08,14.7,0.0
2024-05-09,16.1,0.0
2024-05-10,17.9,0.0
2024-05-11,17.0,31.7
2024-05-12,16.6,0.0
2024-05-13,18.3,0.0
2024-05-14,18.8,0.0
2024-05-15,12.6,20.6
2024-05-16,13.7,0.1
2024-05-17,18.3,0.0
2024-05-18,20.7,0.0
2024-05-19,21.5,0.0
2024-05-20,19.4,0.0
2024-05-21,21.7,0.0
2024-05-22,20.5,0.0
2024-05-23,20.2,0.0
2024-05-24,20.1,0.0
2024-05-25,21.4,0.0
2024-05-26,19.9,8.7
2024-05-27,18.5,0.0
2024-05-28,20.4,0.0
2024-05-29,21.2,0.0
2024-05-30,20.7,0.0
2024-05-31,20.4,1.0
2024-06-01,20.7,0.0
2024-06-02,20.4,0.0
2024-06-03,22.2,0.0
2024-06-04,22.8,0.0
2024-06-05,23.6,0.0
